Airtel,Asian Paints,Axis bank,Coal India,LT,Reliance,SBI,Tata Motors,Tata steel,Wipro
439.65,1131.05,593.4,298.6,1479.45,1416.6,312.75,399.25,705.05,304.65
440.1,1128.9,593.4,305.7,1473.3,1429.1,312.85,396.2,775.55,307.7
440.55,1154.5,605.4,300.55,1490.75,1428.3,311.1,399.3,782.75,311.95
452.6,1149.75,613.75,299.65,1444.75,1412.95,313.15,400.2,769,311.95
458.95,1150.95,607.9,295.05,1443.35,1400.4,329.5,403.6,763.4,313.75
490.9,1167.7,618.9,293,1439.65,1409.55,318,418.05,780.05,315.1
489.7,1176.7,611.05,284.35,1449.45,1398.95,306.25,421.55,752.1,320.8
497.75,1193.4,590.25,284.45,1419.65,1371.95,309.05,418.95,751.65,328.45
494.5,1189.75,583.7,283.1,1393.5,1358.8,302.75,418.8,751.85,326.05
500.35,1194.15,584.75,291.3,1414.55,1352.25,306.35,422.75,774.25,325.75
496.9,1190.35,558.75,291.5,1445.5,1323.25,296.15,421.8,766.3,331.9
504.1,1201.7,560.7,305.45,1450.75,1323.1,302.25,431.75,783.2,316.45
509.4,1189.65,555.75,308,1446.35,1329.2,301.8,436.15,771.05,318.75
514.75,1188.85,558.25,307.9,1442.6,1320.3,302,434.45,771.6,321.05
506.35,1177.4,562.55,308.1,1438.4,1323.85,301.05,432.5,771.85,326.05
510,1191.9,565.15,304.05,1449.1,1332.8,304.25,436.55,772.3,317.6
516.1,1183.1,565.35,287.85,1412.8,1338.1,305.65,433.7,768.95,311.05
540,1183.75,563.1,278.75,1386.35,1314.5,306.2,430.8,770.3,309.75
522.45,1172.05,559.3,277.8,1380.65,1315.4,308.05,429.7,760.75,311.5
518.45,1141.1,560.35,272.3,1391.15,1276.15,302.85,433.2,733.3,310.2
516.3,1142.85,559.7,270.35,1393.95,1249.1,302.9,438.85,729.1,318.9
528.15,1146.5,564.85,266.45,1376,1261.8,307.05,425.4,723.7,317.75
529.4,1157.9,562.4,263,1368,921.05,309.5,431.2,732.45,313.4
531.05,1144.6,547.4,262.95,1360.8,924.4,308.3,418.4,734.65,307.55
534,1148.45,554.55,262.55,1349.4,922.3,314.15,422.5,721.8,305.35
542.8,1149.65,554.35,263.65,1341.35,928,316.85,423.6,721.4,303.25
529.1,1136.5,553.5,266,1350.65,918.5,319.85,421.9,710.6,301.1
523.95,1137.1,549.4,268,1354.45,913.05,316.55,420.25,715.5,297.65
528.6,1134.35,554.9,269.6,1337.6,918.75,317.25,421.95,702.55,296.65
536.4,1136.7,552.85,267.6,1336.95,924,319.45,419.25,710.3,292.15
526.15,1136.75,548.25,268.05,1316.4,919.4,318.9,405.5,704.7,295.3
518.95,1119.95,548.1,271.05,1342.35,919.9,312.75,405.15,694.95,289.8
521,1125.05,541.6,263.1,1353.05,920.55,314.05,402.8,685.85,287.9
516.95,1116.55,534.95,262.6,1345.1,914,313.25,401.85,682.1,287.2
523.95,1118.5,538.3,263.25,1358.9,915.05,318.4,405.7,689.2,287.2
532.5,1128.1,543.5,269.85,1358.25,915.9,318.3,410.2,700,289.25
525.15,1134.35,542.45,264.75,1360.3,920.95,313.15,411.05,696.85,283.25
513.35,1143.4,534.15,263.3,1375.4,930.65,316.6,402.15,687.9,281.35
483.95,1104.15,529.8,265,1365,927.5,312.25,396.8,668.05,282.3
490.5,1114.25,533.75,265.25,1361.45,911.5,319.3,402.35,675.95,283.4
484.8,1122.8,534.9,266.55,1366.9,901.5,313.3,403.4,687.7,290.05
483.25,1136.1,533.6,272.25,1353.45,909.85,312.55,399.15,680.7,289.45
496.85,1147.75,536,276.2,1362.35,922.6,320.45,404.65,695.15,291.8
495.7,1156.2,549.15,276.45,1358.1,945.45,328.8,414.25,709.3,297.9
492.2,1169.95,562.2,274.65,1360.25,942.95,332.65,415.95,704.25,294
498.15,1158.2,559.65,271.85,1385.4,950.7,335.25,421.15,701.85,294.8
496.3,1160.05,544.8,271.1,1382.55,949.5,332.25,424.95,707.75,292.55
496.05,1161.25,544.25,270.9,1354.55,945.15,334.9,426.1,711.25,293.4
498.7,1174.35,540.05,272.3,1356.15,930.25,335.2,428.25,711.6,294.15
503.15,1161.35,546.75,274.05,1369.7,932.4,330.75,424.25,711.25,293.95
492.65,1168.1,544.85,278.25,1352.55,918.85,333.05,422.4,700.7,294.6
493.55,1171.1,541.9,272.85,1357.85,909.7,337.4,421.45,701.35,294.75
489.9,1180.05,542.55,268.95,1329.2,902.45,333.45,413.5,686.65,297.65
