Date,Expiry Date,Strike Price (K),Call Price,Put Price
05-Feb-14,24-Dec-14,6000,743.6,393.55
06-Feb-14,24-Dec-14,6000,748.85,395.7
07-Feb-14,24-Dec-14,6000,762.8,390.95
10-Feb-14,24-Dec-14,6000,756.9,395.7
11-Feb-14,24-Dec-14,6000,750,389.15
12-Feb-14,24-Dec-14,6000,760,375.65
13-Feb-14,24-Dec-14,6000,701.4,407.45
14-Feb-14,24-Dec-14,6000,728.55,384.45
17-Feb-14,24-Dec-14,6000,743.85,375.75
18-Feb-14,24-Dec-14,6000,782.1,362.85
19-Feb-14,24-Dec-14,6000,791.05,357.25
20-Feb-14,24-Dec-14,6000,761.85,378.9
21-Feb-14,24-Dec-14,6000,790.55,358.45
24-Feb-14,24-Dec-14,6000,807.75,344
25-Feb-14,24-Dec-14,6000,817,334.65
26-Feb-14,24-Dec-14,6000,825.05,322.05
28-Feb-14,24-Dec-14,6000,828.85,312.5
03-Mar-14,24-Dec-14,6000,800.65,326.9
04-Mar-14,24-Dec-14,6000,845.2,282.05
05-Mar-14,24-Dec-14,6000,841.85,268.45
06-Mar-14,24-Dec-14,6000,876.35,251.4
07-Mar-14,24-Dec-14,6000,972.6,215.65
10-Mar-14,24-Dec-14,6000,1008.2,212.9
11-Mar-14,24-Dec-14,6000,995.55,214.3
12-Mar-14,24-Dec-14,6000,993.35,214.75
13-Mar-14,24-Dec-14,6000,997.8,223.15
14-Mar-14,24-Dec-14,6000,994.15,218.5
18-Mar-14,24-Dec-14,6000,985,211.05
19-Mar-14,24-Dec-14,6000,1001,210.65
20-Mar-14,24-Dec-14,6000,959.2,222.25
21-Mar-14,24-Dec-14,6000,973.8,217.35
22-Mar-14,24-Dec-14,6000,972.95,216.4
24-Mar-14,24-Dec-14,6000,1041.05,199.7
25-Mar-14,24-Dec-14,6000,1047.65,199.15
26-Mar-14,24-Dec-14,6000,1059.95,192.65
27-Mar-14,24-Dec-14,6000,1063.45,180.6
28-Mar-14,24-Dec-14,6000,1074.9,167.15
31-Mar-14,24-Dec-14,6000,1098.8,161.15
01-Apr-14,24-Dec-14,6000,1082,145.95
02-Apr-14,24-Dec-14,6000,1131.2,138.6
03-Apr-14,24-Dec-14,6000,1111.15,144.4
04-Apr-14,24-Dec-14,6000,1090,150
07-Apr-14,24-Dec-14,6000,1084.35,149.5
09-Apr-14,24-Dec-14,6000,1180.3,124.05
10-Apr-14,24-Dec-14,6000,1196,131.3
11-Apr-14,24-Dec-14,6000,1167,132.6
15-Apr-14,24-Dec-14,6000,1133.7,147.65
16-Apr-14,24-Dec-14,6000,1090.45,163.15
17-Apr-14,24-Dec-14,6000,1170,142.45
21-Apr-14,24-Dec-14,6000,1204.35,134.9
22-Apr-14,24-Dec-14,6000,1188.1,128.9
23-Apr-14,24-Dec-14,6000,1196.95,128.95
25-Apr-14,24-Dec-14,6000,1147.4,129.35
28-Apr-14,24-Dec-14,6000,1146.75,132
29-Apr-14,24-Dec-14,6000,1093.8,138.55
30-Apr-14,24-Dec-14,6000,1057.35,135.7
02-May-14,24-Dec-14,6000,1059.45,134.95
05-May-14,24-Dec-14,6000,1079.7,137.05
06-May-14,24-Dec-14,6000,1075.2,132.2
07-May-14,24-Dec-14,6000,1016.4,130.75
08-May-14,24-Dec-14,6000,1010.25,131.4
09-May-14,24-Dec-14,6000,1171.5,111.2
12-May-14,24-Dec-14,6000,1307.05,93.7
13-May-14,24-Dec-14,6000,1367.1,76.15
14-May-14,24-Dec-14,6000,1388,70.65
15-May-14,24-Dec-14,6000,1380,78.9
16-May-14,24-Dec-14,6000,1462.6,44.7
19-May-14,24-Dec-14,6000,1510,43.4
20-May-14,24-Dec-14,6000,1530,38.95
21-May-14,24-Dec-14,6000,1502.5,39.55
22-May-14,24-Dec-14,6000,1510,38.05
23-May-14,24-Dec-14,6000,1605,33
26-May-14,24-Dec-14,6000,1583.7,36
27-May-14,24-Dec-14,6000,1535.35,36.5
28-May-14,24-Dec-14,6000,1544,34.9
29-May-14,24-Dec-14,6000,1450.35,34.3
30-May-14,24-Dec-14,6000,1415.3,31.2
02-Jun-14,24-Dec-14,6000,1555.1,26.15
03-Jun-14,24-Dec-14,6000,1620,23.35
04-Jun-14,24-Dec-14,6000,1620,24.2
05-Jun-14,24-Dec-14,6000,1675,23.95
06-Jun-14,24-Dec-14,6000,1808.9,23.45
09-Jun-14,24-Dec-14,6000,1880.9,22.55
10-Jun-14,24-Dec-14,6000,1886.2,22.15
11-Jun-14,24-Dec-14,6000,1857.2,23.85
12-Jun-14,24-Dec-14,6000,1846,21.65
13-Jun-14,24-Dec-14,6000,1779,24.1
16-Jun-14,24-Dec-14,6000,1755,25.3
17-Jun-14,24-Dec-14,6000,1835,22
18-Jun-14,24-Dec-14,6000,1792,25
19-Jun-14,24-Dec-14,6000,1765,24.55
20-Jun-14,24-Dec-14,6000,1728.6,26.4
23-Jun-14,24-Dec-14,6000,1718.8,25.65
24-Jun-14,24-Dec-14,6000,1787.1,24.9
