Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,31-Dec-2018,31-Dec-2020,PE,7600,0,0,0,121,121,14.35,0,0,0,49200,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,7700,0,0,0,48,48,16.7,0,0,0,17850,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,7800,0,0,0,54,54,19.35,0,0,0,121500,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,7900,0,0,0,145,145,22.35,0,0,0,33900,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8000,0,0,0,157.5,157.5,25.65,0,0,0,21075,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8100,0,0,0,161.7,161.7,29.4,0,0,0,79200,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8200,0,0,0,188,188,33.55,0,0,0,25200,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8300,0,0,0,211.7,211.7,38.15,0,0,0,52500,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8400,0,0,0,205,205,43.2,0,0,0,3000,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8500,0,0,0,209,209,48.8,0,0,0,71775,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8600,0,0,0,223,223,54.9,0,0,0,1125,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8700,0,0,0,345,345,61.6,0,0,0,25650,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8800,0,0,0,255.55,0,68.95,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,8900,0,0,0,273.55,0,76.9,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,9000,0,0,0,235,235,85.5,0,0,0,24525,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,9100,0,0,0,311.4,0,94.85,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,9200,0,0,0,291,291,104.9,0,0,0,12300,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,9300,0,0,0,352.45,0,115.75,0,0,0,0,0,10862.55
